"filename", "language", "JSON with Comments", "TypeScript", "YAML", "JavaScript", "JSON", "XML", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Proyectos\game-proyects\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 119, 3, 14, 136
"c:\Proyectos\game-proyects\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 99, 0, 2, 11, 112
"c:\Proyectos\game-proyects\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 6, 33
"c:\Proyectos\game-proyects\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 92, 4, 13, 109
"c:\Proyectos\game-proyects\app\projects\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 4, 18, 149
"c:\Proyectos\game-proyects\app\projects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 3, 7, 47
"c:\Proyectos\game-proyects\components.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Proyectos\game-proyects\components\featured-game.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 12, 66
"c:\Proyectos\game-proyects\components\game-grid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 9, 63
"c:\Proyectos\game-proyects\components\glitch-text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 9, 47
"c:\Proyectos\game-proyects\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"c:\Proyectos\game-proyects\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 9, 59
"c:\Proyectos\game-proyects\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 15, 142
"c:\Proyectos\game-proyects\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 7, 60
"c:\Proyectos\game-proyects\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 8
"c:\Proyectos\game-proyects\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 7, 51
"c:\Proyectos\game-proyects\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 6, 37
"c:\Proyectos\game-proyects\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 11, 116
"c:\Proyectos\game-proyects\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 6, 57
