"filename", "language", "JSON", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Proyectos\game-proyects\app\about\page.tsx", "TypeScript JSX", 0, -119, 0, -3, -14, -136
"c:\Proyectos\game-proyects\app\globals.css", "CSS", 0, 0, 15, 0, 2, 17
"c:\Proyectos\game-proyects\app\page.tsx", "TypeScript JSX", 0, -12, 0, 11, -1, -2
"c:\Proyectos\game-proyects\app\projects\[slug]\page.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 1
"c:\Proyectos\game-proyects\components\featured-game.tsx", "TypeScript JSX", 0, 4, 0, 0, -2, 2
"c:\Proyectos\game-proyects\components\game-grid.tsx", "TypeScript JSX", 0, 2, 0, 0, -1, 1
"c:\Proyectos\game-proyects\components\retro-neon-text.tsx", "TypeScript JSX", 0, 85, 0, 1, 16, 102
"c:\Proyectos\game-proyects\package-lock.json", "JSON", 167, 0, 0, 0, 0, 167
"c:\Proyectos\game-proyects\package.json", "JSON", 2, 0, 0, 0, 1, 3
"Total", "-", 169, -39, 15, 9, 1, 155
